Certificate Number,Business Name,DBA Name,Business Type,Business is MWBE Owned,Business is Publicly Traded,Business Officers,Address,Address 2,City,State,Zip Code,Phone,Issued Date,Expiration Date,Status,Business has a NYS DOL Employer Registration Number,Reason business does not have a NYS DOL Employer Registration Number,Business has a WCB Employer Number,Business has outstanding wage assessments,Business has been debarred,Debarment State or Federal Law,Debarment State,Debarment Start Date,Debarment End Date,Business has final determination for violation of Labor or Tax Law,Business has final determination safety standard violations,Business is associated with an apprenticeship program,Business is sponsor of a program,Business is signatory to a group program,Business has Workers Compensation Insurance,Business is exempt from Workers Compensation Insurance,Georeference
24-637SU-CR,1ST HEATING SOLUTIONS LLC,NO DBA,LLC,No,No,None Listed,619 OAKSIDE RD,NOT APPLICABLE,YORKTOWN HEIGHTS,NY,10598,8456289900,12/9/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.80541 41.31946)
24-64YEH-CR,2017 ROCHESTER TOPSOIL  EXCAVATING LLC,NO DBA,LLC,No,No,None Listed,5 SABLE CRK LN,NOT APPLICABLE,SPENCERPORT,NY,14559,5857374099,12/12/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-77.7954 43.23402)
24-64YI4-CR,2020 INSPECTIONS INC,NO DBA,Corporation,No,No,None Listed,3716 FORT HAMILTON PKWY,NOT APPLICABLE,BROOKLYN,NY,11218,7188542867,12/13/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.98949 40.64383)
24-64871-CR,212CARPET INSTALLATION INC,NO DBA,Corporation,No,No,None Listed,2200 MARCUS AVE,NOT APPLICABLE,NEW HYDE PARK,NY,11042,3476654498,12/30/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.69204 40.75825)
25-64PAU-CR,212 RENOVATIONS GROUP LLC,NO DBA,Corporation,No,No,None Listed,284 MESEROLE ST,NOT APPLICABLE,BROOKLYN,NY,11206,2123280136,1/13/2025,1/13/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.93703 40.70865)
25-64SX9-CR,22ND CENTURY TECHNOLOGIES INC,22ND CENTURY TECHNOLOGIESINC,Corporation,No,No,None Listed,8251 GREENSBORO DR,SUITE 900,MCLEAN,VA,22102,7033496630,2/7/2025,2/7/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-77.23009 38.92197)
25-64I81-CR,2BQ CORP,NO DBA,Corporation,No,No,None Listed,2415 83RD ST,2,BROOKLYN,NY,11214,3323450294,2/4/2025,2/4/2027,Active,No,Other,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.98713 40.60069)
24-64D7K-CR,2 SAAB CONSTRUCTION INC,NO DBA,Corporation,Yes,No,None Listed,3084 CONEY IS AVE,NOT APPLICABLE,BROOKLYN,NY,11235,2129207620,12/19/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.95986 40.58091)
24-639ZX-CR,2XPC CORP,THOSE GUYS CONTRACTING,Corporation,No,No,None Listed,PO BOX 11,NOT APPLICABLE,IRVINGTON,NY,10533,9145899688,12/12/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
25-64C38-CR,317 SAYAY INTERIOR SERVICES LLC,NO DBA,LLC,No,No,None Listed,59 GATES AVE,NOT APPLICABLE,BRENTWOOD,NY,11717,6317203351,1/9/2025,1/9/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.22771 40.79544)
25-64Q6Y-CR,3343 BAILEY LOCK  ALARM SUPPLY INC,SUBURBAN LOCK  DOOR,Corporation,No,No,None Listed,3122 DELAWARE AVE,NOT APPLICABLE,KENMORE,NY,14217,7168767735,1/15/2025,1/15/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-78.87117 42.96963)
25-64TBC-CR,34ED LLC,CENTEGIX,LLC,No,No,None Listed,2120 POWERS FERRY RD SE,SUITE 110,ATLANTA,GA,30339,8009509202,1/22/2025,1/22/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-84.45071 33.90077)
24-63656-CR,360 LAND SURVEY D P C,NO DBA,Corporation,No,No,None Listed,2368 MARYLAND AVE,NOT APPLICABLE,NIAGARA FALLS,NY,14305,7165878380,12/11/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-79.03347 43.12557)
25-64AX6-CR,3 ANGLES INCORPORATED,3 ANGLES,Corporation,No,No,None Listed,2 ACCESS RD,NOT APPLICABLE,ALBANY,NY,12208,6179534707,2/13/2025,2/13/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.85457 42.72757)
24-64DEG-CR,3C DRILLING LLC,NO DBA,LLC,No,No,None Listed,807 N WEST END BLVD,NOT APPLICABLE,QUAKERTOWN,PA,18951,2153484294,12/18/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-75.36966 40.46495)
24-648UB-CR,3L  COMPANY INC,NO DBA,Corporation,Yes,No,None Listed,355 MICHELE PL,NOT APPLICABLE,CARLSTADT,NJ,07072,2015805080,12/27/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-74.06233 40.8165)
24-64YIU-CR,3RDI TECHNOLOGIES LLC,NO DBA,LLC,Yes,No,None Listed,3418 NORTHERN BLVD,STE 304,LONG ISLAND CITY,NY,11101,3476707233,12/13/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.92919 40.75203)
24-64EYE-CR,3RD ROC SOLAR LLC,NO DBA,LLC,No,No,None Listed,101 SULLYS TRL,NOT APPLICABLE,PITTSFORD,NY,14534,5852180631,12/30/2024,12/30/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-77.4678 43.06027)
25-64XBR-CR,400 EAST CORP,NO DBA,Corporation,No,No,None Listed,322 EIGHTH AVE,701,NEW YORK,NY,10001,2128887311,1/15/2025,1/15/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-73.99696 40.74738)
25-64XIU-CR,4A CONSTRUCTION CORP,NO DBA,Corporation,Yes,No,None Listed,128 LAND LN,NOT APPLICABLE,WESTBURRY,NY,11590,3477065524,1/17/2025,1/17/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.55674 40.74564)
25-64CGQ-CR,4F FLOORING LLC,TPL FLOORING,LLC,No,No,None Listed,1220 ROTTERDAM INDUSTRIAL PARK,NOT APPLICABLE,SCHENECTADY,NY,12306,5183564315,1/8/2025,1/8/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.98605 42.77994)
24-636KZ-CR,4HOLDERS LLC,4HOLDERS CONSTRUCTION,LLC,Yes,No,None Listed,36 NEW HYDE PARK RD,NOT APPLICABLE,FRANKLIN SQUARE,NY,11010,5163055748,12/10/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-73.67527 40.70861)
25-64ZE1-CR,4TS PREMIER LAND SERVICES INC,65750832,Corporation,No,No,None Listed,8 EAGLE CIR,NOT APPLICABLE,BOHEMIA,NY,11716,6315594698,2/10/2025,2/10/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,POINT (-73.13401 40.7511)
24-64RGY-CR,50 STATES ENGINEERING CORP,50 STATES ENGINEERING CORP,Corporation,Yes,No,None Listed,43 MOONACHIE RD,NOT APPLICABLE,HACKENSACK,NJ,07601,2015078283,12/19/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-74.03899 40.86208)
25-64X99-CR,518 FREIGHT LLC,NO DBA,LLC,No,No,None Listed,9580 ROUTE 9W,NOT APPLICABLE,ATHENS,NY,12015,5183444109,1/17/2025,1/17/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.85466 42.28579)
24-64GSQ-CR,56 CONSULTING LLC,56 CONSULTING,LLC,No,No,None Listed,27 CARRIAGE RD,NOT APPLICABLE,CLIFTON PARK,NY,12065,5182751789,12/26/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.77657 42.80478)
24-6363R-CR,5 D MARKETING AND CONSULTING LLC,5 D MARKETING AND CONSULTING LLC,LLC,Yes,No,None Listed,2429 NORTHMONT DR,NOT APPLICABLE,ASHEBORO,NC,27205,6072182018,12/11/2024,12/29/2026,Active,No,Sole Proprietor,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,No,Yes,POINT (-79.8331 35.7474)
24-64N66-CR,5JS ELECTRICAL CONTRACTORS CORP,NO DBA,Corporation,Yes,No,None Listed,3801 23 AVE,SUITE 311,ASTORIA,NY,11105,7182042474,12/17/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.90869 40.77141)
24-6331J-CR,5 TRADE LLC,ADAMS GLASS,LLC,No,No,None Listed,5 TRADE RD,NOT APPLICABLE,PLATTSBURGH,NY,12901,5185617310,11/26/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.46984 44.71926)
25-64C6G-CR,6 STARS PROPERTY MANAGEMENT INC,6 STARS INC,Corporation,Yes,No,None Listed,61 PARSELLS AVE,NOT APPLICABLE,ROCHESTER,NY,14609,5855000907,1/10/2025,1/10/2027,Active,Yes,Not Applicable,Yes,No,Yes,State Law,New York,11/14/2023,11/14/2024,Yes,Yes,Yes,Yes,Yes,Yes,No,POINT (-77.57754 43.16556)
25-64V6E-CR,700 NANO LLC,NO DBA,LLC,Yes,No,None Listed,800 NEW BRUNSWICK AVE,STE 5,RAHWAY,NJ,07065,7327184875,1/8/2025,1/8/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,Yes,Yes,No,POINT (-74.28361 40.59943)
24-64GUX-CR,716 SITE CONTRACTING INC,NO DBA,Corporation,No,No,None Listed,PO BOX 120,NOT APPLICABLE,N. BOSTON,NY,14110,7163433404,12/26/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,Unknown
25-64PH1-CR,7 OCEAN GROUP INC,NO DBA,Corporation,Yes,No,None Listed,2351 WHITE OAK CT,NOT APPLICABLE,EAST ELMHURST,NY,11370,7186990387,1/13/2025,1/13/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.89085 40.76509)
24-64Y9P-CR,7 SEAS INFRATECH CORP,NO DBA,Corporation,No,No,None Listed,11918 101ST AVE 235,NOT APPLICABLE,SOUTH RICHMOND HILL,NY,11419,9292188505,12/13/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.82523 40.69017)
24-64816-CR,82 CONTRACTING INC,NO DBA,Corporation,No,No,None Listed,13 MAYBECK DR,NOT APPLICABLE,EAST SETAUKET,NY,11733,6317510440,12/27/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,Unknown
24-64DV8-CR,9 WEST CONSTRUCTION CORP,NO DBA,Corporation,No,No,None Listed,84 N RT 9W,NOT APPLICABLE,CONGERS,NY,10920,8452687437,12/18/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.92719 41.15317)
25-64S3N-CR,A1 CONSTRUCTION  PAINTING INC,A1 CONSTRUCTION  PAINTING INC,Corporation,No,No,None Listed,299 KENMORE AVE,NOT APPLICABLE,TONAWANDA,NY,14223,7168336943,2/7/2025,2/7/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-78.82892 42.95826)
24-64GA8-CR,A1 LAND CARE INC,NO DBA,Corporation,No,No,None Listed,1527 RDG RD,NOT APPLICABLE,LEWISTON,NY,14092,7167544999,12/26/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-78.97603 43.18101)
24-64D7H-CR,A1 RELIABLE INDUSTRIES CORPORATION,NO DBA,Corporation,No,No,None Listed,109 NANCY ST,NOT APPLICABLE,WEST BABYLON,NY,11704,6313932662,12/19/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.37639 40.73984)
25-64K4P-CR,A1 WORKSINPROGRESS ASSOCIATES LLC,WORKS IN PROGRESS ASSOCIATES,LLC,Yes,No,None Listed,33 RECTOR ST,14TH FLOOR,NEW YORK,NY,10006,9176802894,1/6/2025,1/6/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-74.01491 40.70839)
25-64C9O-CR,A2D FINE FINISHES LLC,NO DBA,LLC,No,No,None Listed,495 NORTH AVE,NOT APPLICABLE,HILTON,NY,14668,5853091791,1/10/2025,1/10/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-77.79406 43.3065)
24-634ZT-CR,AAA ADVANCED SOLUTIONS CORP,BETTER BUILDING CARE,Corporation,No,No,None Listed,PO BOX 16316,NOT APPLICABLE,ROCHESTER,NY,14616,5859679735,12/2/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,No,No,No,Yes,No,Unknown
25-64AYY-CR,AAA CARTING  RUBBISH REMOVAL INC,AAA CARTING,Corporation,No,No,None Listed,3 GREENTOWN RD,NOT APPLICABLE,BUCHANAN,NY,10511,9147399527,2/12/2025,2/12/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.94032 41.26923)
25-64ZOL-CR,AAA COMPLETE CONTRACTOR LLC,NO DBA,LLC,No,No,None Listed,20 BRICK CT,SUITE D,STATEN ISLAND,NY,10309,7186082290,2/11/2025,2/11/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-74.24149 40.53789)
25-64XI6-CR,AAA ELECTRONIC SERVICES  ELECTRICAL CONTRACTING INC,NO DBA,Corporation,Yes,No,None Listed,21810 HILLSIDE AVE,NOT APPLICABLE,QUEENS VILLAGE,NY,11427,7185264848,1/17/2025,1/17/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.74643 40.72864)
25-64QYP-CR,AAA MAINTENANCE SOLUTIONS LLC,NO DBA,LLC,Yes,No,None Listed,10740 PINEGROVE ST,NOT APPLICABLE,JAMAICA,NY,11435,3473789540,1/14/2025,1/14/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.80456 40.6896)
24-64JKG-CR,AAA METAL  GLASS INC,NO DBA,Corporation,No,No,None Listed,PO BOX 1243,NOT APPLICABLE,FAIR LAWN,NJ,07410,9736840030,12/31/2024,12/31/2026,Active,No,Out of State,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,Unknown
24-63HP3-CR,AAA REINFORCING LLC,NO DBA,Sole Proprietorship,Yes,No,None Listed,6587 W ATLANTIC AVE,NOT APPLICABLE,HUDSON,NY,12534,5188280359,12/5/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-73.75546 42.28451)
24-64FJX-CR,AAAS ELECTRICAL CONTRACTING CORP,NO DBA,Corporation,Yes,No,None Listed,11919 192ND ST,NOT APPLICABLE,SAINT ALBANS,NY,11412,3477583541,12/21/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.75777 40.68893)
24-64G73-CR,AAA SOUND  VIDEO LLC,NO DBA,LLC,No,No,None Listed,295 MT READ BLVD,STE 5,ROCHESTER,NY,14611,5853251080,12/26/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-77.65951 43.15593)
24-637B6-CR,AABCO SHEET METAL COINC,NO DBA,Corporation,No,No,None Listed,4740 METROPOLITAN AVE,NOT APPLICABLE,MASPETH,NY,11385,7188211166,12/6/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No,POINT (-73.92324 40.71434)
24-636AX-CR,AAC CONTRACTING LLC,GENESEE ENVIRONMENTAL,Unknown,Yes,No,None Listed,175 HUMBOLDT ST,NOT APPLICABLE,ROCHESTER,NY,14610,5857505535,12/11/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-77.56462 43.15196)
24-64YA8-CR,AAD CONSTRUCTION CORP,NO DBA,Corporation,No,No,None Listed,141 DWIGHT ST,NOT APPLICABLE,BROOKLYN,NY,11231,7184391400,12/13/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-74.01045 40.67484)
24-64E8K-CR,AAD CONTRACTING INC,NO DBA,Corporation,No,No,None Listed,PO BOX 14287,NOT APPLICABLE,POLAND,OH,44514,3305076171,12/30/2024,12/30/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,Unknown
24-6396D-CR,AA FENCING LLC,NO DBA,Corporation,No,No,None Listed,4538 SWEDEN WALKER RD,NOT APPLICABLE,BROCKPORT,NY,14420,5855034199,12/12/2024,12/29/2026,Active,Yes,Not Applicable,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-77.89975 43.1971)
24-64BKT-CR,AAH CONSTRUCTION CORP,NO DBA,Corporation,No,No,None Listed,2177 31ST ST,SUITE 107,ASTORIA,NY,11105,7182671300,12/16/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No,POINT (-73.9104 40.77637)
24-64G5P-CR,AAKASH CONSTRUCTION INC,NO DBA,Corporation,No,No,None Listed,8 SHERWOOD CIR,NOT APPLICABLE,LINDEN,NJ,07036,6462619513,12/26/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-74.27629 40.62941)
25-6414H-CR,AALCO SEPTIC  SEWER INC,NO DBA,Corporation,No,No,None Listed,2369 HUTH SAYER RD,NOT APPLICABLE,ORISKANY FALLS,NY,13425,3158435600,1/28/2025,1/28/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-75.51698 42.97749)
24-64DTS-CR,AALCO TRANSPORT  STORAGE INC,NO DBA,Corporation,No,No,None Listed,65 MARCUS DR,NOT APPLICABLE,MELVILLE,NY,11747,6314209000,12/18/2024,12/29/2026,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.41388 40.75973)
25-64VC1-CR,A  A PLUMBING SYSTEMS INC,NO DBA,Corporation,Yes,No,None Listed,11503 FARMERS BLVD,STE 1,SAINT ALBANS,NY,11412,7187839281,1/7/2025,1/7/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.7616 40.69579)
25-64QTB-CR,AARCO CONTRACTING LLC,NO DBA,LLP,No,No,None Listed,44 OLD FIELD LN,NOT APPLICABLE,GREAT NECK,NY,11020,2122225507,1/14/2025,1/15/2027,Active,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No,POINT (-73.71445 40.76991)
