Prime Contract ID,Contract Includes Sub Vendors,Vendor Record Type,Prime Vendor,Prime Vendor M/WBE Category,Prime Contract Purpose,Prime Contract Current Amount,Prime Contract Original Amount,Prime Vendor Spend to Date,Prime Contract Start Date,Prime Contract End Date,Prime Contract Registration Date,Prime Woman Owned Business,Prime Emerging Business,Prime Contracting Agency,OCA Number,Prime Contract Version,FMS Document/Parent Contract ID,Prime Contract Type,Prime Contract Award Method,Prime Contract Expense Category,Prime Contract Industry,Prime Contract PIN,Prime Contract APT PIN,% COVID Spending,% Other Spending,Sub Vendor,Sub Vendor M/WBE Category,Sub Contract Purpose,Subcontract Status,Sub Contract Industry,Sub Contract Current Amount,Sub Contract Original Amount,Sub Vendor Paid to Date,Sub Contract Start Date,Sub Contract End Date,Sub Contract Reference ID,Sub Woman Owned Business,Sub Emerging Business,Prime Vendor Match,Sub Vendor Match
CTA184120247208221,no,Prime Vendor,BOVE INDUSTRIES INC,Non-M/WBE,Weigh-In-Motion (WIM): BQE Corridor-WB/SB-Adams St.,4891282.8,4891282.8,3962937.81,7/2/2024,1/2/2025,6/25/2024,No ,No ,Department of Transportation,1015753330.0,3,MMA184120228806452,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,"IOTB CONSTRUCTION, PROF SERV COMPUTER SERVICES",Construction Services,84121B00190010,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,BOVE INDUSTRIES INC,Not Applicable
CTA184120247207696,no,Prime Vendor,BOVE INDUSTRIES INC,Non-M/WBE,W &W:-Structural Minor Rehab-BQE Atlantic Ave. &Sands,140000.0,140000.0,119861.99,4/8/2024,4/28/2024,6/10/2024,No ,No ,Department of Transportation,1015753265.0,2,MMA184120228806452,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CONTRACTUAL SERVICES GENERAL,Construction Services,84121B00190010,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,BOVE INDUSTRIES INC,Not Applicable
CTA107220257203121,no,Prime Vendor,A T J ELECTRICAL CO INC,Non-M/WBE,Replacement of existing feeders to NIC,2584319.36,2584319.36,0.0,1/2/2025,1/1/2028,2/11/2025,No ,No ,Department of Correction,1016236106.0,1,MMA107220238802137,CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Construction Services,07222B0003001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,ATJ ELECTRICAL CO INC,Not Applicable
CTA107220257202896,no,Prime Vendor,AWL INDUSTRIES INC,Non-M/WBE,Task Order #001.0-RMN-GC-AWL-2023 Rodman's Neck GC at Mods B,8471110.41,8471110.41,0.0,8/5/2024,9/30/2025,1/27/2025,No ,No ,Department of Correction,1016207785.0,1,MMA107220238803923,CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Construction Services,072202111CPD,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,AWL INDUSTRIES INC,Not Applicable
CTA107220257200196,no,Prime Vendor,JOHNSON CONTROLS FIRE PROTECTION LP,Non-M/WBE,"Testing, inspection and maintenance of existing fire alarm",5145121.0,5145121.0,1471943.4,8/15/2024,8/14/2025,8/12/2024,No ,No ,Department of Correction,1015640771.0,1,MMA107220216200841,CONSTRUCTION,MULTIPLE AWARDS,CONTRACTUAL SERVICES GENERAL,Construction Services,07220O0003001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,JOHNSON CONTROLS FIRE PROTECTION LP,Not Applicable
CTA107220247207531,no,Prime Vendor,ATLAS FENCE  RAILING CO INC,Non-M/WBE,Additional and enhanced security at various DOC facilities,2000000.0,2000000.0,1401913.46,6/10/2024,6/9/2026,5/29/2024,No ,No ,Department of Correction,1016256904.0,4,MMA107220248802424,CONSTRUCTION,MULTIPLE AWARDS,CONTRACTUAL SERVICES GENERAL,Construction Services,MMA120248802424,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,ATLAS FENCE  RAILING CO INC,Not Applicable
CTA107220247204771,yes,Sub Vendor,AWL INDUSTRIES INC,Non-M/WBE,RMN HVAC Supply + Installation for MODS,0.0,0.0,0.0,1/25/2024,1/24/2027,2/27/2024,No ,No ,Department of Correction,,1,MMA107220238804161,CONSULTANT,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Professional Services,07222B0010001,,0,0,UNITED CRANE  RIGGING SERVICES INC,Women (Non-Minority),"Rigging of all HVAC equipment (MAUs, RTUs, Fans, & Specialty Filters) for all buildings (B, C, D, E, F, and N)",No Subcontract Payments Submitted,Construction Services,108000.0,108000.0,0.0,4/3/2024,4/3/2025,001,Yes,No ,AWL INDUSTRIES INC,UNITED CRANE AND RIGGING SERVICES INC
CTA105720258804656,no,Prime Vendor,ZHL GROUP INC,Non-M/WBE,FY25 Expense Task Orders Staten Island and Brooklyn,258346.74,258346.74,0.0,12/20/2024,4/19/2025,1/27/2025,No ,No ,Fire Department,1016164601.0,1,MMA105720196200721,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,MAINT & OPER OF INFRASTRUCTURE,Construction Services,05725Z0016001,057180000648,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,ZHL GROUP INC,Not Applicable
CTA105720258804592,no,Prime Vendor,CRESCENT CONTRACTING CORP,Non-M/WBE,Heat Pumps in Brooklyn TO67455 TO67475  TO67476,293302.13,293302.13,0.0,12/1/2024,5/31/2025,12/19/2024,No ,No ,Fire Department,1016157937.0,1,MMA105720248804325,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Construction Services,05725Z0015001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,CRESCENT CONTRACTING CORP,Not Applicable
CTA105720258804591,no,Prime Vendor,CRESCENT CONTRACTING CORP,Non-M/WBE,Heat Pumps in Staten Island  TO67494 HVSI1 TO67495 HVSI2,183428.71,183428.71,0.0,12/1/2024,5/31/2025,12/19/2024,No ,No ,Fire Department,1016156640.0,1,MMA105720248804543,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Construction Services,05725Z0014001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,CRESCENT CONTRACTING CORP,Not Applicable
CTA105720258804341,no,Prime Vendor,ZHL GROUP INC,Non-M/WBE,TO69494 ZHLQN-14  Apparatus floor replacement QN,4071733.8,4071733.8,0.0,12/11/2024,11/26/2025,12/30/2024,No ,No ,Fire Department,1016130471.0,1,MMA105720248805474,CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Construction Services,05725Z0013001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,ZHL GROUP INC,Not Applicable
CTA105720258804216,no,Prime Vendor,ZHL GROUP INC,Non-M/WBE,TO69156 ZHL BX-03 Generator Installation,221890.42,221890.42,0.0,12/11/2024,11/26/2025,12/12/2024,No ,No ,Fire Department,1016117445.0,1,MMA105720248805470,CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Construction Services,05725Z0012001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,ZHL GROUP INC,Not Applicable
CTA105720258803526,no,Prime Vendor,DEFASH GLOBAL RESOURCES INC,Non-M/WBE,STO66332-S01 BMQ-2 S01  TO69435 BMQ-9  Asbestos Removal,99440.32,99440.32,14070.8,7/1/2024,6/30/2025,11/4/2024,Yes,No ,Fire Department,1015984902.0,1,MMA105720248802789,CONSTRUCTION,MULTIPLE AWARDS,POLLUTION REMEDIATION OBLIGATIONS,Construction Services,05725Z0010001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,DEFASH GLOBAL RESOURCES INC,Not Applicable
CTA105720258802736,yes,Sub Vendor,ZHL GROUP INC,Non-M/WBE,TO70614 ZHLQN-15 Demolition Ft Totten #317  GC ZHL,0.0,0.0,0.0,10/1/2024,5/31/2025,10/4/2024,No ,No ,Fire Department,,1,MMA105720248805474,REQUIREMENTS,MULTIPLE AWARDS,POLLUTION REMEDIATION OBLIGATIONS,Standardized Services,05725Z0006001,,0,0,TLD SERVICES INC,Hispanic American,Asbestos abatement,ACCO Reviewing Subcontract,Construction Services,71500.0,71500.0,0.0,2/14/2025,5/30/2025,001,No ,No ,ZHL GROUP INC,T L D SERVICES INC
CTA105720258802736,yes,Sub Vendor,ZHL GROUP INC,Non-M/WBE,TO70614 ZHLQN-15 Demolition Ft Totten #317  GC ZHL,0.0,0.0,0.0,10/1/2024,5/31/2025,10/4/2024,No ,No ,Fire Department,,1,MMA105720248805474,REQUIREMENTS,MULTIPLE AWARDS,POLLUTION REMEDIATION OBLIGATIONS,Standardized Services,05725Z0006001,,0,0,BRENTWOOD BUILDING RESTORATION INC,Hispanic American,Demolition,No Subcontract Payments Submitted,Construction Services,321550.0,321550.0,0.0,10/1/2024,5/30/2025,002,No ,No ,ZHL GROUP INC,BRENTWOOD BUILDING RESTORATION INC
CTA105720258801939,yes,Prime Vendor,CRESCENT CONTRACTING CORP,Non-M/WBE,TO66915 HVQN-1 EC287 HVAC,4817172.17,4817172.17,0.0,10/1/2024,9/30/2026,8/27/2024,No ,No ,Fire Department,1015767929.0,1,MMA105720248804248,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Construction Services,05725Z0004001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,No ,No ,CRESCENT CONTRACTING CORP,Not Applicable
CTA105720258801939,yes,Sub Vendor,CRESCENT CONTRACTING CORP,Non-M/WBE,TO66915 HVQN-1 EC287 HVAC,0.0,0.0,0.0,10/1/2024,9/30/2026,8/27/2024,No ,No ,Fire Department,,1,MMA105720248804248,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Construction Services,05725Z0004001,,0,0,INTERNATIONAL ASBESTOS REMOVAL INC,Women (Non-Minority),Subcontractor,ACCO Reviewing Subcontract,Construction Services,245000.0,245000.0,0.0,10/1/2024,9/30/2026,011,Yes,No ,CRESCENT CONTRACTING CORP,INTERNATIONAL ASBESTOS REMOVAL INC
CTA105720258801939,yes,Sub Vendor,CRESCENT CONTRACTING CORP,Non-M/WBE,TO66915 HVQN-1 EC287 HVAC,0.0,0.0,0.0,10/1/2024,9/30/2026,8/27/2024,No ,No ,Fire Department,,1,MMA105720248804248,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Construction Services,05725Z0004001,,0,0,ABLE RIGGING CONTRACTORS LLC,Non-M/WBE,Subcontractor,No Subcontract Payments Submitted,Construction Services,59100.0,59100.0,0.0,10/1/2024,9/30/2026,007,No ,No ,CRESCENT CONTRACTING CORP,ABLE RIGGING CONTRACTORS LLC
CTA105720258801939,yes,Sub Vendor,CRESCENT CONTRACTING CORP,Non-M/WBE,TO66915 HVQN-1 EC287 HVAC,0.0,0.0,0.0,10/1/2024,9/30/2026,8/27/2024,No ,No ,Fire Department,,1,MMA105720248804248,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Construction Services,05725Z0004001,,0,0,HAILEY INSULATION CORP,Women (Non-Minority),Subcontractor,No Subcontract Payments Submitted,Construction Services,245000.0,245000.0,0.0,10/1/2024,9/30/2026,008,Yes,No ,CRESCENT CONTRACTING CORP,HAILEY INSULATION CORP
CTA105720258801939,yes,Sub Vendor,CRESCENT CONTRACTING CORP,Non-M/WBE,TO66915 HVQN-1 EC287 HVAC,0.0,0.0,0.0,10/1/2024,9/30/2026,8/27/2024,No ,No ,Fire Department,,1,MMA105720248804248,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Construction Services,05725Z0004001,,0,0,GFJ 21 MECHANICAL CORP,Black American,Subcontractor,ACCO Canceled Subcontract,Construction Services,2000000.0,2000000.0,0.0,10/1/2024,9/30/2026,006,No ,No ,CRESCENT CONTRACTING CORP,GFJ21 MECHANICAL CORP
CTA105720258801939,yes,Sub Vendor,CRESCENT CONTRACTING CORP,Non-M/WBE,TO66915 HVQN-1 EC287 HVAC,0.0,0.0,0.0,10/1/2024,9/30/2026,8/27/2024,No ,No ,Fire Department,,1,MMA105720248804248,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Construction Services,05725Z0004001,,0,0,GUARANTEED HOME IMPROVEMENT LLC,Non-M/WBE,Subcontractor,ACCO Canceled Subcontract,Construction Services,200000.0,200000.0,0.0,10/1/2024,9/30/2026,005,No ,No ,CRESCENT CONTRACTING CORP,GUARANTEED HOME IMPROVEMENT LLC
CTA105720258801939,yes,Sub Vendor,CRESCENT CONTRACTING CORP,Non-M/WBE,TO66915 HVQN-1 EC287 HVAC,0.0,0.0,0.0,10/1/2024,9/30/2026,8/27/2024,No ,No ,Fire Department,,1,MMA105720248804248,REQUIREMENTS-CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Construction Services,05725Z0004001,,0,0,MAC FHIONNGHAILE  SONS ELECTRICAL CONTRACTING INC,Women (Non-Minority),Subcontractor,No Subcontract Payments Submitted,Construction Services,289000.0,289000.0,0.0,10/1/2024,9/30/2026,009,Yes,No ,CRESCENT CONTRACTING CORP,MAC FHIONNGHAILE  SONS ELECTRICAL CONTRACTING INC
CTA105720258801929,yes,Prime Vendor,ZHL GROUP INC,Non-M/WBE,FY25 Expense Task Orders GC Manhattan,255340.32,255340.32,14167.85,7/1/2024,6/30/2025,8/28/2024,No ,No ,Fire Department,1015768023.0,1,MMA105720248805471,CONSTRUCTION,MULTIPLE AWARDS,MAINT & OPER OF INFRASTRUCTURE,Construction Services,05725Z0003001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,No ,No ,ZHL GROUP INC,Not Applicable
CTA105720258801681,no,Prime Vendor,DEFASH GLOBAL RESOURCES INC,Non-M/WBE,TO67955 BMQ-12 Windows Replacement at EC 28,7694.28,7694.28,7694.28,6/1/2024,6/30/2024,9/3/2024,Yes,No ,Fire Department,1015688459.0,1,MMA105720248802789,CONSTRUCTION,MULTIPLE AWARDS,POLLUTION REMEDIATION OBLIGATIONS,Construction Services,05725Z0002001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,Not Applicable,Not Applicable,DEFASH GLOBAL RESOURCES INC,Not Applicable
CTA105720258801168,yes,Prime Vendor,ZHL GROUP INC,Non-M/WBE,TO66554  ZHL-53  EC161- Roofing and Waterproofing,1635175.09,1635175.09,420649.55,8/1/2024,7/31/2025,8/16/2024,No ,No ,Fire Department,1015644437.0,1,MMA105720196200721,CONSTRUCTION,MULTIPLE AWARDS,CONSTRUCTION-BUILDINGS,Construction Services,05724Z0021001,057180000648,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,No ,No ,ZHL GROUP INC,Not Applicable
CTA105720258800988,yes,Sub Vendor,GAZEBO CONTRACTING INC,Non-M/WBE,Manhole Repair FY25 Expense Task Orders,0.0,0.0,0.0,7/1/2024,6/30/2025,7/25/2024,No ,No ,Fire Department,,4,MMA105720248804801,REQUIREMENTS,MULTIPLE AWARDS,MAINT & REP GENERAL,Not Classified,05724Z0020001A003,,0,0,PINNACLE ALLIANCE CORP,Hispanic American,labor management,No Subcontract Payments Submitted,Construction Services,6000.0,6000.0,0.0,7/1/2024,6/30/2025,001,No ,No ,GAZEBO CONTRACTING INC,PINNACLE ALLIANCE CORP
CTA105720258800988,yes,Sub Vendor,GAZEBO CONTRACTING INC,Non-M/WBE,Manhole Repair FY25 Expense Task Orders,0.0,0.0,0.0,7/1/2024,6/30/2025,7/25/2024,No ,No ,Fire Department,,4,MMA105720248804801,REQUIREMENTS,MULTIPLE AWARDS,MAINT & REP GENERAL,Not Classified,05724Z0020001A003,,0,0,JP HOGAN CORING  SAWING CO,Women (Non-Minority),sawcutting,No Subcontract Payments Submitted,Construction Services,2000.0,2000.0,0.0,7/1/2024,6/30/2025,003,Yes,No ,GAZEBO CONTRACTING INC,JP HOGAN CORING  SAWING CORP
CT185620258803347,yes,Prime Vendor,SUNRISE ELECTRICAL SERVICES LLC,Non-M/WBE,CSB Citywide Solar PV Installation No. 2,17066121.13,17066121.13,0.0,12/2/2024,12/1/2026,11/19/2024,No ,No ,Department of Citywide Administrative Services,1016140436.0,2,-,CONSTRUCTION,COMPETITIVE SEALED BIDDING,CAPITAL PURCHASED EQUIPMENT,Construction Services,85624B0006001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,No ,No ,SUNRISE ELECTRICAL SERVICES LLC,Not Applicable
CT185620258801976,yes,Prime Vendor,SKYLINE ELEVATOR CONSULTANTS LLC,Hispanic American,Door Lock Monitoring Installation,5513065.35,5513065.35,0.0,12/13/2024,12/12/2027,12/9/2024,No ,No ,Department of Citywide Administrative Services,,2,-,REQUIREMENTS-CONSTRUCTION,COMPETITIVE SEALED BIDDING,CONTRACTUAL SERVICES GENERAL,Construction Services,85623B0001001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,No ,No ,SKYLINE ELEVATOR CONSULTANTS LLC,Not Applicable
CT185620258800808,yes,Prime Vendor,P  K CONTRACTING INC,Asian American,"Renewal Facade Requirements Contract - Brooklyn, Queens, SI",19726849.97,19726849.97,0.0,8/2/2024,8/2/2027,10/9/2024,No ,No ,Department of Citywide Administrative Services,,2,-,REQUIREMENTS-CONSTRUCTION,RENEWAL OF CONTRACT,MAINT & REP GENERAL,Construction Services,85622B8002KXLR001,,0,0,NOT APPLICABLE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0,0.0,0.0,,,Not Applicable,No ,No ,PK CONTRACTING INC,Not Applicable
CT185620258800808,yes,Sub Vendor,P  K CONTRACTING INC,Asian American,"Renewal Facade Requirements Contract - Brooklyn, Queens, SI",0.0,0.0,0.0,8/2/2024,8/2/2027,10/9/2024,No ,No ,Department of Citywide Administrative Services,,2,-,REQUIREMENTS-CONSTRUCTION,RENEWAL OF CONTRACT,MAINT & REP GENERAL,Construction Services,85622B8002KXLR001,,0,0,LIT MODE ELECTRICAL CONTRACING INC,Asian American,Electrical Contractor,ACCO Reviewing Subcontract,Construction Services,500000.0,500000.0,0.0,12/18/2024,8/2/2027,001,No ,No ,PK CONTRACTING INC,LIT MODE ELECTRICAL CONTRACTING INC
